SchoolName,SizeSetting,Control,F20Enrollment
Crafton Hills College,"Two-year, medium",Public,"6,012"
Yavapai College,"Two-year, medium",Public,"6,009"
Gateway Community College,"Two-year, medium",Public,"6,003"
Aims Community College,"Two-year, medium",Public,"5,981"
Alabama A & M University,"Four-year, medium, highly residential",Public,"5,977"
Central Community College,"Two-year, medium",Public,"5,974"
Campbell University,"Four-year, medium, primarily residential",Private not-for-profit,"5,964"
Northcentral Technical College,"Two-year, medium",Public,"5,939"
Columbia State Community College,"Two-year, medium",Public,"5,931"
Franklin University,"Four-year, medium, primarily nonresidential",Private not-for-profit,"5,926"
Colorado State University Pueblo,"Four-year, medium, primarily residential",Public,"5,925"
Mott Community College,"Two-year, medium",Public,"5,920"
University of Arkansas-Fort Smith,"Four-year, medium, primarily nonresidential",Public,"5,887"
Washburn University,"Four-year, medium, primarily nonresidential",Public,"5,880"
Orange County Community College,"Two-year, medium",Public,"5,862"
Midwestern State University,"Four-year, medium, primarily residential",Public,"5,860"
Bradley University,"Four-year, medium, primarily residential",Private not-for-profit,"5,855"
South Louisiana Community College,"Two-year, medium",Public,"5,855"
University of Wisconsin-River Falls,"Four-year, medium, primarily residential",Public,"5,855"
Elizabethtown Community and Technical College,"Two-year, medium",Public,"5,850"
East Stroudsburg University of Pennsylvania,"Four-year, medium, highly residential",Public,"5,835"
Highline College,"Four-year, small, primarily nonresidential",Public,"5,829"
Emporia State University,"Four-year, medium, primarily residential",Public,"5,828"
Saint Paul College,"Two-year, medium",Public,"5,823"
Tacoma Community College,"Four-year, medium, primarily nonresidential",Public,"5,823"
Biola University,"Four-year, medium, highly residential",Private not-for-profit,"5,815"
Snow College,"Four-year, small, primarily nonresidential",Public,"5,800"
Iowa Western Community College,"Two-year, medium",Public,"5,791"
Southern Maine Community College,"Two-year, medium",Public,"5,789"
Seattle Central College,"Four-year, small, primarily nonresidential",Public,"5,763"
Rock Valley College,"Two-year, medium",Public,"5,762"
Parkland College,"Two-year, medium",Public,"5,758"
Minnesota State Community and Technical College,"Two-year, medium",Public,"5,757"
Frederick Community College,"Two-year, medium",Public,"5,756"
North Hennepin Community College,"Two-year, medium",Public,"5,756"
Walters State Community College,"Two-year, medium",Public,"5,742"
Virginia Western Community College,"Two-year, medium",Public,"5,738"
Alvin Community College,"Two-year, medium",Public,"5,737"
Rockland Community College,"Two-year, medium",Public,"5,735"
University of Alaska ,"Four-year, medium, primarily residential",Public,"5,734"
Samford University,"Four-year, medium, highly residential",Private not-for-profit,"5,729"
Worcester State University,"Four-year, medium, primarily residential",Public,"5,724"
American College of Financial Services,Exclusively graduate/professional,Private not-for-profit,"5,723"
Mohawk Valley Community College,"Two-year, medium",Public,"5,704"
Georgia Highlands College,"Four-year, medium, primarily nonresidential",Public,"5,680"
Johnson & Wales University-Providence,"Four-year, medium, highly residential",Private not-for-profit,"5,676"
Monmouth University,"Four-year, medium, primarily residential",Private not-for-profit,"5,674"
Los Angeles Film School,"Four-year, medium, primarily nonresidential",Private for-profit,"5,669"
Massasoit Community College,"Two-year, medium",Public,"5,665"
Finger Lakes Community College,"Two-year, medium",Public,"5,640"
University of Indianapolis,"Four-year, medium, highly residential",Private not-for-profit,"5,638"
High Point University,"Four-year, medium, highly residential",Private not-for-profit,"5,617"
The University of Texas Health Science Center at Houston,"Four-year, medium, primarily nonresidential",Public,"5,608"
Southeastern Oklahoma State University,"Four-year, medium, primarily nonresidential",Public,"5,607"
St. Thomas University,"Four-year, medium, primarily residential",Private not-for-profit,"5,601"
Trinity Valley Community College,"Two-year, medium",Public,"5,600"
Bryant & Stratton College-Online,"Four-year, medium, primarily nonresidential",Private for-profit,"5,594"
Concordia University-Saint Paul,"Four-year, medium, primarily nonresidential",Private not-for-profit,"5,585"
Tri-County Technical College,"Two-year, medium",Public,"5,582"
Winthrop University,"Four-year, medium, highly residential",Public,"5,576"
Clackamas Community College,"Two-year, medium",Public,"5,555"
Pueblo Community College,"Four-year, small, primarily nonresidential",Public,"5,551"
Passaic County Community College,"Two-year, medium",Public,"5,549"
Minnesota State University Moorhead,"Four-year, medium, primarily residential",Public,"5,547"
Butler University,"Four-year, medium, highly residential",Private not-for-profit,"5,544"
The University of Texas Permian Basin,"Four-year, small, primarily residential",Public,"5,530"
Yeshiva University,"Four-year, medium, highly residential",Private not-for-profit,"5,524"
Fairfield University,"Four-year, medium, highly residential",Private not-for-profit,"5,513"
Concordia University-Wisconsin,"Four-year, medium, highly residential",Private not-for-profit,"5,492"
Weatherford College,"Two-year, medium",Public,"5,480"
William Carey University,"Four-year, medium, primarily residential",Private not-for-profit,"5,472"
Norfolk State University,"Four-year, medium, highly residential",Public,"5,457"
Strayer University-North Carolina,"Four-year, small, primarily nonresidential",Private for-profit,"5,441"
Brandeis University,"Four-year, medium, highly residential",Private not-for-profit,"5,440"
Grambling State University,"Four-year, medium, highly residential",Public,"5,438"
Merrimack College,"Four-year, medium, highly residential",Private not-for-profit,"5,418"
Holmes Community College,"Two-year, medium",Public,"5,409"
South University-Savannah Online,"Four-year, medium, primarily nonresidential",Private for-profit,"5,405"
Northeast State Community College,"Two-year, medium",Public,"5,397"
Clark State College ,"Two-year, medium",Public,"5,396"
Westfield State University,"Four-year, medium, highly residential",Public,"5,395"
SUNY Broome Community College,"Two-year, medium",Public,"5,386"
Shoreline Community College,"Two-year, medium",Public,"5,382"
The Catholic University of America,"Four-year, medium, highly residential",Private not-for-profit,"5,366"
University of Washington-Tacoma Campus,"Four-year, medium, primarily nonresidential",Public,"5,364"
Western Iowa Tech Community College,"Two-year, medium",Public,"5,360"
Olympic College,"Four-year, medium, primarily nonresidential",Public,"5,357"
Ithaca College,"Four-year, medium, highly residential",Private not-for-profit,"5,354"
Gaston College,"Two-year, medium",Public,"5,345"
Lakeland Community College,"Two-year, medium",Public,"5,331"
South Seattle College,"Four-year, very small, primarily nonresidential",Public,"5,324"
Oregon Institute of Technology,"Four-year, small, primarily nonresidential",Public,"5,323"
Colorado Mountain College,"Four-year, small, primarily nonresidential",Public,"5,315"
Abilene Christian University,"Four-year, medium, highly residential",Private not-for-profit,"5,291"
Loyola University Maryland,"Four-year, medium, highly residential",Private not-for-profit,"5,282"
Texas Tech University Health Sciences Center,"Four-year, medium, primarily nonresidential",Public,"5,274"
Eastern New Mexico University-Main Campus,"Four-year, medium, primarily residential",Public,"5,266"
Harford Community College,"Two-year, medium",Public,"5,256"
Western Connecticut State University,"Four-year, medium, primarily residential",Public,"5,246"
North Seattle College,"Four-year, small, primarily nonresidential",Public,"5,240"
San Juan College,"Two-year, medium",Public,"5,240"
CUNY Medgar Evers College,"Four-year, medium, primarily nonresidential",Public,"5,237"
Southern Crescent Technical College,"Two-year, medium",Public,"5,232"
Canada College,"Two-year, medium",Public,"5,231"
Los Angeles Southwest College,"Two-year, medium",Public,"5,216"
Auburn University at Montgomery,"Four-year, medium, primarily residential",Public,"5,212"
Lee University,"Four-year, medium, highly residential",Private not-for-profit,"5,204"
City Colleges of Chicago-Harry S Truman College,"Two-year, medium",Public,"5,186"
Bentley University,"Four-year, medium, highly residential",Private not-for-profit,"5,177"
Yuba College,"Two-year, medium",Public,"5,175"
Roane State Community College,"Two-year, medium",Public,"5,172"
South College,"Four-year, medium, primarily nonresidential",Private for-profit,"5,171"
Winston-Salem State University,"Four-year, medium, highly residential",Public,"5,169"
Cerro Coso Community College,"Two-year, medium",Public,"5,159"
Central Carolina Community College,"Two-year, medium",Public,"5,154"
Saint Mary's University of Minnesota,"Four-year, medium, primarily residential",Private not-for-profit,"5,152"
Kansas City Kansas Community College,"Two-year, medium",Public,"5,148"
Southern Oregon University,"Four-year, medium, primarily residential",Public,"5,140"
Emerson College,"Four-year, medium, highly residential",Private not-for-profit,"5,115"
Molloy College,"Four-year, medium, primarily nonresidential",Private not-for-profit,"5,115"
Rochester Community and Technical College,"Two-year, medium",Public,"5,115"
SUNY College at Plattsburgh,"Four-year, medium, primarily residential",Public,"5,109"
College of Alameda,"Two-year, medium",Public,"5,107"
Northeast Community College,"Two-year, medium",Public,"5,105"
Community College of Vermont,"Two-year, medium",Public,"5,102"
Kilgore College,"Two-year, medium",Public,"5,100"
Naugatuck Valley Community College,"Two-year, medium",Public,"5,083"
Pearl River Community College,"Two-year, medium",Public,"5,065"
Lanier Technical College,"Two-year, medium",Public,"5,045"
Missouri Southern State University,"Four-year, medium, primarily nonresidential",Public,"5,045"
Hawkeye Community College,"Two-year, medium",Public,"5,042"
St. Joseph's College-New York,"Four-year, medium, primarily nonresidential",Private not-for-profit,"5,012"
SUNY College at Old Westbury,"Four-year, medium, primarily nonresidential",Public,"5,007"
Northwest Florida State College,"Four-year, small, primarily nonresidential",Public,"5,004"
Belhaven University,"Four-year, small, primarily residential",Private not-for-profit,"4,999"
University of Detroit Mercy,"Four-year, medium, primarily residential",Private not-for-profit,"4,987"
Lincoln Land Community College,"Two-year, medium",Public,"4,977"
University of Scranton,"Four-year, medium, highly residential",Private not-for-profit,"4,957"
Linn-Benton Community College,"Two-year, medium",Public,"4,956"
Kent State University at Stark,"Four-year, small, primarily nonresidential",Public,"4,950"
Oklahoma State University-Oklahoma City,"Four-year, small, primarily nonresidential",Public,"4,949"
Indiana University-South Bend,"Four-year, medium, primarily nonresidential",Public,"4,942"
Temple College,"Two-year, medium",Public,"4,940"
Napa Valley College,"Two-year, medium",Public,"4,931"
City Colleges of Chicago-Richard J Daley College,"Two-year, medium",Public,"4,929"
University of Houston-Victoria,"Four-year, medium, primarily residential",Public,"4,922"
Missouri Western State University,"Four-year, medium, primarily residential",Public,"4,911"
SUNY College at Geneseo,"Four-year, medium, highly residential",Public,"4,911"
Hutchinson Community College,"Two-year, medium",Public,"4,907"
Southwestern Oklahoma State University,"Four-year, medium, primarily residential",Public,"4,898"
West Kentucky Community and Technical College,"Two-year, medium",Public,"4,893"
Lincoln Memorial University,"Four-year, medium, primarily residential",Private not-for-profit,"4,885"
Lipscomb University,"Four-year, medium, highly residential",Private not-for-profit,"4,884"
Moberly Area Community College,"Two-year, medium",Public,"4,878"
Framingham State University,"Four-year, medium, highly residential",Public,"4,876"
Christopher Newport University,"Four-year, medium, highly residential",Public,"4,868"
Piedmont Virginia Community College,"Two-year, medium",Public,"4,864"
Missouri Baptist University,"Four-year, small, primarily residential",Private not-for-profit,"4,860"
Frostburg State University,"Four-year, medium, primarily residential",Public,"4,857"
Longwood University,"Four-year, medium, highly residential",Public,"4,841"
Somerset Community College,"Two-year, medium",Public,"4,837"
The University of Findlay,"Four-year, small, highly residential",Private not-for-profit,"4,829"
Providence College,"Four-year, medium, highly residential",Private not-for-profit,"4,821"
University of Arkansas-Pulaski Technical College,"Two-year, medium",Public,"4,810"
Strayer University-Virginia,"Four-year, small, primarily nonresidential",Private for-profit,"4,797"
Dalton State College,"Four-year, medium, primarily nonresidential",Public,"4,794"
North Shore Community College,"Two-year, medium",Public,"4,783"
Wilkes University,"Four-year, medium, highly residential",Private not-for-profit,"4,781"
Drake University,"Four-year, medium, highly residential",Private not-for-profit,"4,774"
Tompkins Cortland Community College,"Two-year, medium",Public,"4,764"
George C Wallace State Community College-Hanceville,"Two-year, medium",Public,"4,763"
Lake Superior College,"Two-year, medium",Public,"4,762"
Lake-Sumter State College,"Four-year, small, primarily nonresidential",Public,"4,760"
Delaware State University,"Four-year, medium, highly residential",Public,"4,739"
Midland College,"Four-year, small, primarily nonresidential",Public,"4,737"
North Idaho College,"Two-year, medium",Public,"4,737"
Genesee Community College,"Two-year, medium",Public,"4,735"
Northern Essex Community College,"Two-year, medium",Public,"4,715"
Piedmont Technical College,"Two-year, medium",Public,"4,712"
University of St. Augustine for Health Sciences,Exclusively graduate/professional,Private for-profit,"4,711"
Iowa Central Community College,"Two-year, medium",Public,"4,704"
Roger Williams University,"Four-year, medium, highly residential",Private not-for-profit,"4,702"
Itawamba Community College,"Two-year, medium",Public,"4,696"
Lewis and Clark Community College,"Two-year, medium",Public,"4,683"
Roosevelt University,"Four-year, medium, primarily residential",Private not-for-profit,"4,680"
Indiana University-Southeast,"Four-year, medium, primarily nonresidential",Public,"4,678"
Durham Technical Community College,"Two-year, medium",Public,"4,672"
GateWay Community College,"Two-year, medium",Public,"4,670"
Mississippi College,"Four-year, medium, highly residential",Private not-for-profit,"4,667"
South Puget Sound Community College,"Two-year, medium",Public,"4,665"
Truman State University,"Four-year, medium, highly residential",Public,"4,655"
Governors State University,"Four-year, medium, primarily nonresidential",Public,"4,650"
Eastern Connecticut State University,"Four-year, medium, highly residential",Public,"4,644"
Rider University,"Four-year, medium, highly residential",Private not-for-profit,"4,636"
La Salle University,"Four-year, medium, highly residential",Private not-for-profit,"4,624"
Harding University,"Four-year, medium, highly residential",Private not-for-profit,"4,617"
Point Loma Nazarene University,"Four-year, medium, primarily residential",Private not-for-profit,"4,616"
Utica University ,"Four-year, medium, primarily residential",Private not-for-profit,"4,613"
Compton College,"Two-year, medium",Public,"4,612"
Wichita State University-Campus of Applied Sciences and Technology,"Two-year, medium",Public,"4,606"
Woodland Community College,"Two-year, medium",Public,"4,598"
United States Naval Academy,"Four-year, medium, highly residential",Public,"4,594"
Bemidji State University,"Four-year, medium, primarily residential",Public,"4,577"
University of Redlands,"Four-year, medium, highly residential",Private not-for-profit,"4,566"
Pennsylvania College of Technology,"Four-year, medium, primarily residential",Public,"4,565"
Western Oregon University,"Four-year, medium, primarily residential",Public,"4,554"
Teachers College at Columbia University,Exclusively graduate/professional,Private not-for-profit,"4,547"
Defense Language Institute Foreign Language Center,"Two-year, medium",Public,"4,546"
United States Military Academy,"Four-year, medium, highly residential",Public,"4,536"
Jones County Junior College,"Two-year, medium",Public,"4,535"
College of Marin,"Two-year, medium",Public,"4,509"
Universidad del Sagrado Corazon,"Four-year, medium, primarily nonresidential",Private not-for-profit,"4,501"
Loyola University New Orleans,"Four-year, medium, primarily residential",Private not-for-profit,"4,497"
Gavilan College,"Two-year, medium",Public,"4,494"
Central Lakes College-Brainerd,"Two-year, medium",Public,"4,491"
Plymouth State University,"Four-year, medium, highly residential",Public,"4,491"
Heartland Community College,"Two-year, medium",Public,"4,485"
New England College,"Four-year, medium, highly residential",Private not-for-profit,"4,483"
Loma Linda University,"Four-year, medium, highly residential",Private not-for-profit,"4,468"
Clarion University of Pennsylvania,"Four-year, medium, highly residential",Public,"4,465"
Atlantic Cape Community College,"Two-year, medium",Public,"4,464"
Stetson University,"Four-year, medium, highly residential",Private not-for-profit,"4,462"
Cedarville University,"Four-year, medium, highly residential",Private not-for-profit,"4,461"
Luzerne County Community College,"Two-year, medium",Public,"4,454"
University of Wisconsin-Parkside,"Four-year, medium, primarily nonresidential",Public,"4,452"
Manchester Community College,"Two-year, medium",Public,"4,448"
Ashland University,"Four-year, medium, highly residential",Private not-for-profit,"4,447"
Southern Arkansas University Main Campus,"Four-year, medium, highly residential",Public,"4,432"
Paris Junior College,"Two-year, medium",Public,"4,421"
Norwalk Community College,"Two-year, medium",Public,"4,420"
Lamar Institute of Technology,"Two-year, medium",Public,"4,417"
Gulf Coast State College,"Four-year, small, primarily nonresidential",Public,"4,410"
University of Florida-Online,"Four-year, small, primarily nonresidential",Public,"4,407"
Eastern Arizona College,"Two-year, medium",Public,"4,392"
Niagara County Community College,"Two-year, medium",Public,"4,389"
Wentworth Institute of Technology,"Four-year, medium, highly residential",Private not-for-profit,"4,389"
Westmoreland County Community College,"Two-year, medium",Public,"4,369"
Universidad Politecnica de Puerto Rico,"Four-year, small, primarily nonresidential",Private not-for-profit,"4,367"
Pratt Institute-Main,"Four-year, medium, highly residential",Private not-for-profit,"4,353"
The Southern Baptist Theological Seminary,"Four-year, small, primarily residential",Private not-for-profit,"4,337"
Lake Erie College of Osteopathic Medicine,Exclusively graduate/professional,Private not-for-profit,"4,336"
College of the Mainland,"Two-year, medium",Public,"4,335"
West Coast University-Orange County,"Four-year, medium, primarily nonresidential",Private for-profit,"4,330"
Catawba Valley Community College,"Two-year, medium",Public,"4,328"
Springfield Technical Community College,"Two-year, medium",Public,"4,327"
Edinboro University of Pennsylvania,"Four-year, medium, primarily residential",Public,"4,319"
Oral Roberts University,"Four-year, medium, highly residential",Private not-for-profit,"4,317"
United States Air Force Academy,"Four-year, medium, highly residential",Public,"4,307"
Central Oregon Community College,"Two-year, medium",Public,"4,304"
Gateway Community and Technical College,"Two-year, medium",Public,"4,299"
Athens Technical College,"Two-year, medium",Public,"4,294"
University of Mary Washington,"Four-year, medium, highly residential",Public,"4,293"
Endicott College,"Four-year, medium, highly residential",Private not-for-profit,"4,287"
St Catherine University,"Four-year, small, primarily residential",Private not-for-profit,"4,277"
Gannon University,"Four-year, medium, highly residential",Private not-for-profit,"4,251"
Dallas Baptist University,"Four-year, medium, highly residential",Private not-for-profit,"4,247"
Hawaii Pacific University,"Four-year, small, primarily nonresidential",Private not-for-profit,"4,243"
Western Technical College,"Two-year, medium",Public,"4,240"
West Hills College-Coalinga,"Two-year, small",Public,"4,229"
Skagit Valley College,"Four-year, small, primarily nonresidential",Public,"4,227"
Holyoke Community College,"Two-year, medium",Public,"4,209"
Jackson State Community College,"Two-year, medium",Public,"4,203"
Edison State Community College,"Two-year, medium",Public,"4,202"
University of Maine at Augusta,"Four-year, small, primarily nonresidential",Public,"4,202"
Wayne State College,"Four-year, medium, highly residential",Public,"4,202"
Lesley University,"Four-year, small, primarily residential",Private not-for-profit,"4,200"
Angelina College,"Two-year, small",Public,"4,195"
Crowder College,"Two-year, medium",Public,"4,194"
Spokane Falls Community College,"Four-year, medium, primarily nonresidential",Public,"4,189"
Johnston Community College,"Two-year, medium",Public,"4,182"
Baltimore City Community College,"Two-year, medium",Public,"4,181"
York Technical College,"Two-year, medium",Public,"4,178"
Shenandoah University,"Four-year, medium, highly residential",Private not-for-profit,"4,174"
Florida National University-Main Campus,"Four-year, small, primarily nonresidential",Private for-profit,"4,173"
University of Baltimore,"Four-year, small, primarily nonresidential",Public,"4,169"
University of North Texas at Dallas,"Four-year, medium, primarily nonresidential",Public,"4,164"
Northeast Iowa Community College,"Two-year, medium",Public,"4,162"
University of Bridgeport,"Four-year, medium, primarily residential",Private not-for-profit,"4,155"
Southern Regional Technical College,"Two-year, medium",Public,"4,154"
Francis Marion University,"Four-year, medium, highly residential",Public,"4,148"
University of Illinois Springfield,"Four-year, small, primarily residential",Public,"4,146"
Jackson College,"Four-year, small, primarily nonresidential",Public,"4,140"
Champlain College,"Four-year, small, primarily residential",Private not-for-profit,"4,137"
New River Community College,"Two-year, medium",Public,"4,137"
Southcentral Kentucky Community and Technical College,"Two-year, medium",Public,"4,137"
Robert Morris University,"Four-year, medium, highly residential",Private not-for-profit,"4,134"
Inter American University of Puerto Rico-Bayamon,"Four-year, medium, primarily nonresidential",Private not-for-profit,"4,123"
Spartanburg Community College,"Two-year, medium",Public,"4,108"
George Fox University,"Four-year, medium, highly residential",Private not-for-profit,"4,106"
Coastal Bend College,"Two-year, medium",Public,"4,105"
Strayer University-Tennessee,"Four-year, small, primarily nonresidential",Private for-profit,"4,102"
Barton County Community College,"Two-year, medium",Public,"4,094"
Hennepin Technical College,"Two-year, medium",Public,"4,094"
Central Arizona College,"Two-year, medium",Public,"4,076"
Alabama State University,"Four-year, medium, highly residential",Public,"4,072"
Concordia University-Irvine,"Four-year, medium, highly residential",Private not-for-profit,"4,071"
Inver Hills Community College,"Two-year, medium",Public,"4,071"
Grayson College,"Two-year, medium",Public,"4,066"
SUNY Corning Community College,"Two-year, medium",Public,"4,063"
Wayland Baptist University,"Four-year, small, primarily residential",Private not-for-profit,"4,062"
University of Richmond,"Four-year, medium, highly residential",Private not-for-profit,"4,056"
SUNY at Fredonia,"Four-year, medium, highly residential",Public,"4,055"
Jacksonville University,"Four-year, medium, highly residential",Private not-for-profit,"4,053"
York College of Pennsylvania,"Four-year, medium, highly residential",Private not-for-profit,"4,039"
Hill College,"Two-year, medium",Public,"4,038"
Alamance Community College,"Two-year, medium",Public,"4,037"
California Lutheran University,"Four-year, medium, highly residential",Private not-for-profit,"4,027"
Clarkson University,"Four-year, medium, highly residential",Private not-for-profit,"4,025"
Central State University,"Four-year, small, primarily residential",Public,"4,021"
Virginia State University,"Four-year, medium, highly residential",Public,"4,020"
Schenectady County Community College,"Two-year, medium",Public,"4,015"
Bethel University,"Four-year, small, primarily residential",Private not-for-profit,"4,001"
Montana State University Billings,"Four-year, small, primarily nonresidential",Public,"4,000"
University of Portland,"Four-year, medium, highly residential",Private not-for-profit,"3,999"
Harrisburg University of Science and Technology,"Four-year, medium, primarily residential",Private not-for-profit,"3,997"
A T Still University of Health Sciences,Exclusively graduate/professional,Private not-for-profit,"3,995"
Fresno Pacific University,"Four-year, medium, primarily nonresidential",Private not-for-profit,"3,995"
Gadsden State Community College,"Two-year, medium",Public,"3,993"
Abraham Baldwin Agricultural College,"Four-year, small, primarily residential",Public,"3,990"
Sandhills Community College,"Two-year, medium",Public,"3,990"
Norwich University,"Four-year, medium, primarily residential",Private not-for-profit,"3,975"
Trevecca Nazarene University,"Four-year, medium, primarily residential",Private not-for-profit,"3,968"
Manhattan College,"Four-year, medium, highly residential",Private not-for-profit,"3,965"
Porterville College,"Two-year, medium",Public,"3,964"
Houston Baptist University,"Four-year, small, primarily residential",Private not-for-profit,"3,963"
University of Tulsa,"Four-year, medium, highly residential",Private not-for-profit,"3,960"
Yakima Valley College,"Four-year, small, primarily nonresidential",Public,"3,954"
Southern Union State Community College,"Two-year, medium",Public,"3,950"
University of South Carolina Aiken,"Four-year, medium, primarily residential",Public,"3,944"
West Hills College-Lemoore,"Two-year, medium",Public,"3,932"
St Cloud Technical and Community College,"Two-year, medium",Public,"3,931"
State Fair Community College,"Two-year, medium",Public,"3,928"
Midwestern University-Glendale,Exclusively graduate/professional,Private not-for-profit,"3,927"
Rasmussen University-Minnesota,"Four-year, small, primarily nonresidential",Private for-profit,"3,927"
Reading Area Community College,"Two-year, small",Public,"3,924"
Blue Ridge Community and Technical College,"Two-year, small",Public,"3,912"
Inter American University of Puerto Rico-Ponce,"Four-year, medium, primarily nonresidential",Private not-for-profit,"3,910"
Owensboro Community and Technical College,"Two-year, medium",Public,"3,901"
College of the Redwoods,"Two-year, medium",Public,"3,891"
University of Mary Hardin-Baylor,"Four-year, medium, highly residential",Private not-for-profit,"3,876"
Louisiana Delta Community College,"Two-year, medium",Public,"3,874"
Augusta Technical College,"Two-year, medium",Public,"3,863"
The College of Saint Rose,"Four-year, medium, highly residential",Private not-for-profit,"3,863"
Lake Land College,"Two-year, medium",Public,"3,862"
Lewis-Clark State College,"Four-year, small, primarily nonresidential",Public,"3,856"
Palo Verde College,"Two-year, small",Public,"3,854"
Brazosport College,"Four-year, small, primarily nonresidential",Public,"3,852"
Anderson University,"Four-year, medium, highly residential",Private not-for-profit,"3,848"
Fairmont State University,"Four-year, medium, primarily residential",Public,"3,848"
Indiana Institute of Technology-College of Professional Studies,"Four-year, small, primarily nonresidential",Private not-for-profit,"3,846"
Caldwell Community College and Technical Institute,"Two-year, medium",Public,"3,845"
Laramie County Community College,"Two-year, medium",Public,"3,838"
Housatonic Community College,"Two-year, medium",Public,"3,821"
Bethel University,"Four-year, small, highly residential",Private not-for-profit,"3,814"
Western University of Health Sciences,Exclusively graduate/professional,Private not-for-profit,"3,813"
Texarkana College,"Two-year, small",Public,"3,810"
Pacific University,"Four-year, medium, highly residential",Private not-for-profit,"3,808"
Indiana University-Northwest,"Four-year, small, primarily nonresidential",Public,"3,801"
University of Mary,"Four-year, small, highly residential",Private not-for-profit,"3,799"
Relay Graduate School of Education,Exclusively graduate/professional,Private not-for-profit,"3,790"
Benedictine University,"Four-year, small, primarily nonresidential",Private not-for-profit,"3,779"
Clark Atlanta University,"Four-year, medium, highly residential",Private not-for-profit,"3,776"
Great Basin College,"Four-year, small, primarily nonresidential",Public,"3,772"
Cameron University,"Four-year, small, primarily nonresidential",Public,"3,771"
Davidon-Davie Community College,"Two-year, medium",Public,"3,765"
Rogue Community College,"Two-year, medium",Public,"3,765"
Olivet Nazarene University,"Four-year, small, highly residential",Private not-for-profit,"3,764"
Saint Xavier University,"Four-year, medium, primarily nonresidential",Private not-for-profit,"3,764"
Massachusetts Bay Community College,"Two-year, medium",Public,"3,762"
Black Hawk College,"Two-year, medium",Public,"3,743"
Shelton State Community College,"Two-year, medium",Public,"3,743"
Northern Wyoming Community College District,"Two-year, medium",Public,"3,741"
Citadel Military College of South Carolina,"Four-year, medium, highly residential",Public,"3,740"
Jefferson College,"Two-year, medium",Public,"3,740"
Northwest State Community College,"Two-year, small",Public,"3,736"
Bucknell University,"Four-year, medium, highly residential",Private not-for-profit,"3,726"
University of the District of Columbia,"Four-year, small, primarily nonresidential",Public,"3,725"
Bismarck State College,"Four-year, small, primarily nonresidential",Public,"3,716"
The College of Saint Scholastica,"Four-year, medium, primarily residential",Private not-for-profit,"3,712"
Inter American University of Puerto Rico-San German,"Four-year, medium, primarily nonresidential",Private not-for-profit,"3,710"
Wiregrass Georgia Technical College,"Two-year, small",Public,"3,709"
Louisiana State University-Alexandria,"Four-year, small, primarily nonresidential",Public,"3,706"
Marian University,"Four-year, medium, primarily residential",Private not-for-profit,"3,706"
Palm Beach Atlantic University,"Four-year, small, highly residential",Private not-for-profit,"3,704"
University of Nebraska Medical Center,"Four-year, medium, primarily nonresidential",Public,"3,699"
School of Visual Arts,"Four-year, medium, primarily residential",Private for-profit,"3,692"
University of St Thomas,"Four-year, small, primarily nonresidential",Private not-for-profit,"3,692"
Rockhurst University,"Four-year, small, primarily residential",Private not-for-profit,"3,688"
SUNY at Purchase College,"Four-year, medium, highly residential",Public,"3,685"
George C Wallace Community College-Dothan,"Two-year, medium",Public,"3,681"
Bryant University,"Four-year, medium, highly residential",Private not-for-profit,"3,674"
Howard College,"Two-year, small",Public,"3,674"
Western New England University,"Four-year, medium, highly residential",Private not-for-profit,"3,673"
SUNY College of Technology at Alfred,"Four-year, medium, highly residential",Public,"3,667"
Mohave Community College,"Two-year, small",Public,"3,654"
Wingate University,"Four-year, medium, highly residential",Private not-for-profit,"3,653"
Savannah Technical College,"Two-year, medium",Public,"3,649"
West Virginia State University,"Four-year, small, primarily nonresidential",Public,"3,638"
Morton College,"Two-year, small",Public,"3,618"
Unitek College,"Four-year, medium, primarily nonresidential",Private for-profit,"3,618"
Saint John Fisher College,"Four-year, medium, highly residential",Private not-for-profit,"3,610"
Upper Iowa University,"Four-year, small, primarily residential",Private not-for-profit,"3,610"
Black Hills State University,"Four-year, small, primarily residential",Public,"3,608"
East Central University,"Four-year, small, primarily residential",Public,"3,608"
Coastal Pines Technical College,"Two-year, small",Public,"3,606"
Seattle Pacific University,"Four-year, medium, highly residential",Private not-for-profit,"3,601"
University of Puerto Rico-Bayamon,"Four-year, medium, primarily nonresidential",Public,"3,592"
Clover Park Technical College,"Four-year, small, primarily nonresidential",Public,"3,591"
Point Park University,"Four-year, small, primarily residential",Private not-for-profit,"3,591"
Saint Edward's University,"Four-year, medium, highly residential",Private not-for-profit,"3,591"
Iona College,"Four-year, medium, primarily residential",Private not-for-profit,"3,590"
Trine University,"Four-year, small, highly residential",Private not-for-profit,"3,573"
Coastal Carolina Community College,"Two-year, medium",Public,"3,571"
Taft College,"Two-year, small",Public,"3,566"
Northshore Technical Community College,"Two-year, medium",Public,"3,552"
Casper College,"Two-year, medium",Public,"3,551"
Niagara University,"Four-year, medium, highly residential",Private not-for-profit,"3,544"
Gardner-Webb University,"Four-year, small, highly residential",Private not-for-profit,"3,536"
University of St Francis,"Four-year, small, primarily residential",Private not-for-profit,"3,529"
Inter American University of Puerto Rico-Aguadilla,"Four-year, medium, primarily nonresidential",Private not-for-profit,"3,517"
Hampton University,"Four-year, medium, highly residential",Private not-for-profit,"3,516"
