Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Dance Dance Revolution: Mario Mix,2005,Misc,Nintendo,0.36,0.09,0,0.01,0.47,69,28,8.4,19,Hudson,E
Dance Dance Revolution Disney Mix,2000,Simulation,Konami Digital Entertainment,0.02,0.02,0,0,0.04,74,7,8.3,13,Konami,E
Dance Dance Revolution Extreme,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,0.27,2.13,77,26,9,20,KCET,E
Dance Dance Revolution Extreme 2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14,76,27,9,21,Konami Computer Entertainment Hawaii,E10+
Dance Dance Revolution SuperNOVA,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,0.14,1.04,73,25,8.7,6,Konami,E10+
Dance Dance Revolution Ultramix,2003,Simulation,Konami Digital Entertainment,0.42,0.11,0,0.02,0.54,82,24,8.8,10,Konami Computer Entertainment Hawaii,E
Dance Dance Revolution Ultramix 2,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0,0.02,0.42,78,16,7.1,7,Konami Computer Entertainment Hawaii,E
Dance Dance Revolution Ultramix 3,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.38,75,16,8.6,8,Konami,E10+
Dance Dance Revolution Universe,2007,Simulation,Konami Digital Entertainment,0.3,0,0,0.02,0.32,74,26,8.8,5,Konami,E10+
Dance Dance Revolution Universe 2,2007,Simulation,Konami Digital Entertainment,0.46,0,0,0.04,0.5,65,10,7.4,5,Konami,E10+
Dance Dance Revolution Universe 3,2008,Simulation,Konami Digital Entertainment,0.28,0,0,0.02,0.3,65,6,7.7,7,Konami,E
Dance Dance Revolution X,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,Konami,E10+
Dance Factory,2006,Action,Codemasters,0.02,0.01,0,0,0.03,56,22,5.8,8,Broadsword Interactive,E
DanceMasters,2010,Misc,Konami Digital Entertainment,0.15,0.02,0.02,0.01,0.19,63,30,5.9,7,GCP1,E10+
Dance on Broadway,2010,Misc,Ubisoft,0.25,0.65,0,0.12,1.02,48,6,3.3,4,Longtail Studios,E10+
Dancing With The Stars,2007,Misc,Activision,0.22,0,0,0.02,0.24,42,5,6.2,5,Zoe Mode,E10+
Danganronpa: Trigger Happy Havoc,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80,55,8.1,235,Spike Chunsoft,M
Danganronpa 2: Goodbye Despair,2014,Misc,Nippon Ichi Software,0.08,0.05,0,0.04,0.17,81,50,8.7,140,Spike Chunsoft,M
Danganronpa Another Episode: Ultra Despair Girls,2014,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,0.21,72,35,8.4,77,Spike Chunsoft,M
Dante's Inferno,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75,69,7.5,265,Visceral Games,M
Dante's Inferno,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73,71,7.7,224,Visceral Games,M
Dante's Inferno,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,70,14,8.1,46,"Artificial Mind and Movement, EA Redwood Shores",M
Dark Angel: Vampire Apocalypse,2001,Role-Playing,Metro 3D,0.04,0.03,0,0.01,0.09,53,9,5.6,5,Metro3D,T
Dark Cloud,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T
Dark Cloud 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,87,41,9.1,174,Level 5,T
Darkened Skye,2002,Adventure,TDK Mediactive,0.01,0,0,0,0.01,61,12,6.4,7,Boston Animation,T
Darkest of Days,2009,Shooter,Phantom EFX,0.09,0,0,0.01,0.1,44,25,4.8,76,8Monkey Labs,M
Dark Messiah of Might and Magic Elements,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,52,27,7,48,Ubisoft Annecy,M
Dark Sector,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,72,71,7.5,147,Digital Extremes,M
Dark Sector,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,72,47,7.6,70,Digital Extremes,M
Darksiders,2010,Action,THQ,0.67,0.28,0.01,0.1,1.06,83,81,7.9,292,Vigil Games,M
Darksiders,2010,Action,THQ,0.07,0.06,0,0.02,0.15,83,18,7.8,603,Vigil Games,M
Darksiders,2010,Action,THQ,0.01,0,0,0,0.02,82,73,7.9,319,Vigil Games,M
Darksiders: Warmastered Edition,2016,Action,Nordic Games,0.02,0,0,0,0.02,79,9,8.5,15,Nordic Games Publishing,M
Darksiders: Warmastered Edition,2016,Action,Nordic Games,0.01,0,0,0,0.01,80,13,7.9,14,Nordic Games Publishing,M
Darksiders II,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84,39,7.1,422,Vigil Games,M
Darksiders II,2012,Action,THQ,0.45,0.27,0,0.07,0.79,83,63,8,456,Vigil Games,M
Darksiders II,2012,Action,Nordic Games,0.03,0.1,0,0.02,0.15,81,23,7.8,653,Vigil Games,M
Darksiders II,2012,Action,THQ,0.07,0.07,0,0.01,0.15,85,36,8.2,153,Vigil Games,M
Dark Souls,2011,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,89,54,8.7,1397,From Software,M
Dark Souls,2011,Role-Playing,Namco Bandai Games,0.64,0.27,0,0.09,0.99,89,66,8.4,1106,From Software,M
Dark Souls II,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91,69,8.1,1107,From Software,T
Dark Souls II,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91,30,7.9,915,From Software,T
Dark Souls II,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0,0.01,0.17,91,36,7.1,2318,From Software,T
Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89,69,8.8,1940,From Software,M
Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.26,0.09,0,0.04,0.39,87,14,8.6,514,From Software,N/A
Dark Souls III,2016,Role-Playing,Namco Bandai Games,0,0.07,0,0,0.07,89,56,8.6,1848,From Software,M
Darkspore,2011,Role-Playing,Electronic Arts,0.07,0.03,0,0.01,0.12,65,52,6,133,Maxis,T
Darkstalkers Chronicle: The Chaos Tower,2004,Fighting,Capcom,0.13,0,0,0.01,0.15,74,27,7.9,25,Capcom,T
Darkstalkers Resurrection,2013,Fighting,Capcom,0,0,0.03,0,0.03,80,33,7.3,27,Iron Galaxy Studios,T
DarkStar One,2006,Simulation,Ubisoft,0,0.03,0,0.01,0.03,71,33,7.2,54,Ascaron Entertainment GmbH,T
DarkStar One: Broken Alliance,2010,Simulation,Kalypso Media,0.11,0.07,0,0.02,0.2,63,33,7.2,19,Gaming Minds Studios,T
Darkstone,2001,Role-Playing,Electronic Arts,0.37,0.25,0,0.04,0.66,58,10,8.3,12,Delphine Software International,T
Dark Summit,2002,Sports,THQ,0.04,0.01,0,0,0.05,68,16,4.5,4,Radical Entertainment,T
Dark Void,2010,Action,Capcom,0.18,0.12,0,0.05,0.35,59,50,6,36,Airtight Games,T
Dark Void,2010,Action,Capcom,0.19,0.09,0,0.03,0.31,59,69,6,61,Airtight Games,T
Dark Void,2010,Action,Capcom,0,0.01,0,0,0.02,57,22,5.1,67,Airtight Games,T
Darkwatch,2005,Shooter,Ubisoft,0.16,0.12,0,0.04,0.32,74,37,8.4,42,High Moon Studios,M
Darkwatch,2005,Shooter,Ubisoft,0.16,0.05,0,0.01,0.21,75,43,8.1,21,High Moon Studios,M
Data East Arcade Classics,2010,Misc,Majesco Entertainment,0.08,0,0,0.01,0.09,56,7,8.2,5,G1M2,T
Dave Mirra BMX Challenge,2006,Sports,Oxygen Interactive,0.06,0,0,0.01,0.07,32,11,4.6,10,Left Field Productions,E
Dave Mirra Freestyle BMX,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E
Dave Mirra Freestyle BMX: Maximum Remix,2001,Sports,Acclaim Entertainment,0.15,0.1,0,0.02,0.27,67,11,8.1,7,"Z-Axis, Ltd.",E
Dave Mirra Freestyle BMX 2,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18,1.38,81,21,8.1,18,"Z-Axis, Ltd.",T
Dave Mirra Freestyle BMX 2,2001,Sports,Acclaim Entertainment,0.21,0.06,0,0.01,0.28,78,15,7.7,10,"Z-Axis, Ltd.",T
Dave Mirra Freestyle BMX 2,2001,Sports,Acclaim Entertainment,0.15,0.04,0,0.01,0.2,76,18,8.2,6,"Z-Axis, Ltd.",T
Dawn of Discovery,2009,Simulation,Ubisoft,0,0.32,0,0.06,0.38,82,32,8.8,132,"Blue Byte, Related Designs",T
Dawn of Discovery,2009,Simulation,Ubisoft,0.12,0.06,0,0.02,0.19,81,24,8.5,15,Keen Games,E10+
Dawn of Discovery,2009,Simulation,Ubisoft,0.07,0.03,0,0.01,0.11,82,11,7.3,7,Keen Games,E
Dawn of Mana,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,57,27,6.8,11,Square Enix,T
Daxter,2006,Platform,Sony Computer Entertainment,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Ready at Dawn,E10+
DC Universe Online,2011,Role-Playing,Sony Online Entertainment,0.35,0.11,0,0.06,0.51,67,46,7.4,139,WBIE,T
DC Universe Online,2011,Role-Playing,Sony Online Entertainment,0.16,0.06,0,0.02,0.23,72,27,6.8,243,WBIE,T
DDRMAX2: Dance Dance Revolution,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81,82,27,8.2,11,Konami,E
Dead Head Fred,2007,Action,D3Publisher,0.04,0,0,0,0.04,75,30,7.3,23,Vicious Cycle,M
Dead Island,2011,Action,Deep Silver,1.48,0.69,0,0.2,2.37,71,75,6.9,627,Techland,M
Dead Island,2011,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71,41,6.6,405,Techland,M
Dead Island,2011,Action,Deep Silver,0.12,0.07,0,0.03,0.22,80,24,6.8,1428,Techland,M
Dead Island: Riptide,2013,Action,Deep Silver,0.44,0.26,0.01,0.07,0.78,57,43,6.3,192,Techland,M
Dead Island: Riptide,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62,25,5.9,140,Techland,M
Dead Island Definitive Collection,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63,32,6.4,45,Techland,M
Dead Island Definitive Collection,2016,Action,Deep Silver,0.02,0.03,0,0,0.05,67,10,4.9,18,Techland,M
Deadliest Catch: Alaskan Storm,2008,Sports,Navarre Corp,0.04,0,0,0,0.05,56,14,5.9,15,Liquid Dragon Studios,T
Deadliest Warrior: Ancient Combat,2012,Fighting,Cloud Imperium Games Corporation,0.04,0,0,0,0.04,37,5,6.3,4,"Pipeworks Software, Inc.",M
Deadly Creatures,2009,Action,THQ,0.08,0.12,0,0.02,0.22,72,45,8.8,36,Rainbow Studios,T
Deadly Premonition,2010,Action,Rising Star Games,0.18,0.06,0,0.02,0.26,68,39,8.2,332,Access Games,M
Dead Man's Hand,2004,Shooter,Atari,0.09,0.02,0,0,0.11,62,31,8.1,9,Human Head Studios,T
Dead or Alive,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84,10,8.6,18,Team Ninja,T
Dead or Alive: Dimensions,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,79,62,8.2,113,Team Ninja,T
Dead or Alive 3,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,87,35,8.6,44,Team Ninja,T
Dead or Alive 4,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85,76,8.2,223,Team Ninja,M
Dead or Alive 5,2012,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74,34,7.7,109,Team Ninja,M
Dead or Alive 5,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03,0.32,76,39,7.9,95,Team Ninja,M
Dead or Alive Paradise,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02,0.18,38,34,5.6,37,"Team Ninja, Tecmo",M
Dead or Alive Ultimate,2004,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5,83,64,8.7,25,Team Ninja,M
Dead or Alive Xtreme 2,2006,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53,46,6.7,42,Team Ninja,M
Dead or Alive Xtreme 3: Fortune,2016,Sports,Tecmo Koei,0,0,0.05,0,0.05,43,9,7.8,110,Team Ninja,N/A
Dead or Alive Xtreme Beach Volleyball,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,73,42,7.8,47,Team Ninja,M
Deadpool,2013,Action,Activision,0.23,0.14,0,0.08,0.45,61,27,7.2,221,High Moon Studios,M
Deadpool,2013,Action,Activision,0.26,0.13,0,0.04,0.43,62,49,7.4,368,High Moon Studios,M
Deadpool,2015,Action,Activision,0.14,0.11,0,0.05,0.29,60,11,5.7,68,High Moon Studios,M
Dead Rising,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,520,Capcom,M
Dead Rising,2016,Action,Capcom,0.02,0,0.01,0.01,0.04,78,6,6.6,30,Capcom,M
Dead Rising: Chop Till You Drop,2009,Action,Capcom,0.15,0.07,0.05,0.02,0.29,61,30,6.5,35,TOSE,M
Dead Rising 2,2010,Action,Capcom,0.75,0.52,0.09,0.12,1.49,79,76,6.9,216,Blue Castle Games,M
Dead Rising 2,2010,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80,54,6.7,178,Blue Castle Games,M
Dead Rising 2,2010,Action,Capcom,0.1,0.02,0,0.01,0.14,78,17,6.3,211,Blue Castle Games,M
Dead Rising 2,2016,Action,Capcom,0.01,0,0.01,0,0.03,82,4,6.6,8,Blue Castle Games,M
Dead Rising 2: Off the Record,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.32,72,31,7.1,35,Capcom Vancouver,M
Dead Rising 2: Off the Record,2011,Action,Capcom,0.17,0.08,0,0.02,0.27,72,48,7.5,60,Capcom Vancouver,M
Dead Rising 2: Off the Record,2011,Action,Capcom,0.04,0.02,0,0.01,0.06,66,10,5.3,54,Capcom Vancouver,M
Dead Rising 3,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78,69,6.8,908,Capcom Vancouver,M
Dead Space,2008,Action,Electronic Arts,1.05,0.66,0,0.29,2,88,67,8.8,545,EA Redwood Shores,M
Dead Space,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4,89,79,8.7,768,EA Redwood Shores,M
Dead Space,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59,86,28,8,1093,EA Redwood Shores,M
Dead Space 2,2011,Shooter,Electronic Arts,0.94,0.44,0,0.13,1.51,90,83,8.6,679,Visceral Games,M
Dead Space 2,2011,Shooter,Electronic Arts,0.73,0.48,0,0.21,1.42,89,78,8.4,535,Visceral Games,M
Dead Space 2,2011,Shooter,Electronic Arts,0.13,0.15,0,0.04,0.32,87,28,8.3,974,Visceral Games,M
Dead Space 3,2013,Action,Electronic Arts,0.64,0.26,0,0.08,0.98,78,68,6.4,694,Visceral Games,M
Dead Space 3,2013,Action,Electronic Arts,0.44,0.36,0,0.16,0.96,76,37,6.4,522,Visceral Games,M
Dead Space Extraction,2009,Shooter,Electronic Arts,0.32,0.1,0.01,0.04,0.47,82,76,8.1,82,"Eurocom Entertainment Software, Visceral Games",M
Dead to Rights,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36,73,20,8.9,36,Namco,M
Dead to Rights,2002,Shooter,Electronic Arts,0.53,0.17,0,0.03,0.72,73,39,8.9,16,Namco,M
Dead to Rights,2002,Shooter,Electronic Arts,0.11,0.03,0,0,0.14,77,16,8.7,7,Namco,M
Dead to Rights: Reckoning,2005,Shooter,Electronic Arts,0.12,0,0,0.01,0.13,54,26,7.2,22,Rebellion,M
Dead to Rights: Retribution,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,60,44,5.9,27,Volatile Games,M
Dead to Rights: Retribution,2010,Shooter,Namco Bandai Games,0.11,0.08,0,0.02,0.21,61,64,7,34,Volatile Games,M
Dead to Rights II,2005,Shooter,Electronic Arts,0.1,0.08,0,0.03,0.2,51,32,5.3,7,WideScreen Games,M
Dead to Rights II,2005,Shooter,Electronic Arts,0.08,0.02,0,0,0.11,54,35,7.4,5,Namco,M
Deal or No Deal,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.7,20,13,1.9,41,Artefacts Studio,E
Deal or No Deal,2009,Misc,Zoo Games,1.2,0,0,0.09,1.29,56,4,5,5,Artefacts Studio,E
Death By Degrees,2005,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.1,51,45,6.2,24,Namco,M
Death Jr.,2005,Platform,Konami Digital Entertainment,0.17,0,0,0.01,0.19,61,40,7.3,21,Backbone Entertainment,T
Death Jr.: Root of Evil,2008,Platform,Eidos Interactive,0.1,0,0,0.01,0.11,71,14,8.1,14,Backbone Entertainment,T
Death Jr. and the Science Fair of Doom,2007,Platform,Konami Digital Entertainment,0.08,0,0,0.01,0.08,47,23,7.5,6,Foundation 9 Entertainment,E10+
Death Jr. II: Root of Evil,2006,Platform,Konami Digital Entertainment,0.05,0,0,0,0.05,68,34,7.3,9,Backbone Entertainment,T
DeathSmiles,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28,76,29,8.4,47,Cave,T
de Blob,2008,Platform,THQ,0.49,0.37,0,0.1,0.96,82,48,8.6,73,Blue Tongue Entertainment,E
de Blob 2,2011,Platform,THQ,0.11,0.07,0,0.03,0.21,74,50,7.1,34,Blue Tongue Entertainment,E10+
de Blob 2,2011,Platform,THQ,0.11,0.06,0,0.02,0.18,79,20,8.1,26,Blue Tongue Entertainment,E10+
de Blob 2,2011,Platform,THQ,0.1,0.04,0,0.01,0.15,77,54,7.5,23,Blue Tongue Entertainment,E10+
de Blob 2,2011,Platform,THQ,0.08,0.02,0,0.01,0.11,75,11,8.2,6,Halfbrick Studios,E
Deca Sports,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50,23,5.4,16,CAProduction,E
DECA Sports Freedom,2010,Sports,Hudson Soft,0.27,0.04,0,0.02,0.33,26,16,3.7,9,AI,E10+
Deception IV: Blood Ties,2014,Action,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,67,19,7.5,61,Koei Tecmo Games,M
Deception IV: Blood Ties,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,70,19,8.2,27,Koei Tecmo Games,M
Deep Labyrinth,2006,Action,505 Games,0.06,0,0,0,0.07,57,18,8.8,4,Interactive Brains,E10+
Defender,2002,Misc,Midway Games,0.2,0.15,0,0.05,0.4,73,24,7.8,6,7 Studios,T
Defiance,2013,Shooter,Trion Worlds,0.38,0.14,0,0.05,0.57,60,27,7.2,249,Trion Worlds,M
Defiance,2013,Shooter,Trion Worlds,0.19,0.1,0,0.06,0.35,59,21,6.9,145,Trion Worlds,M
Defiance,2013,Shooter,Trion Worlds,0.14,0.04,0,0.02,0.21,64,40,6.5,661,Trion Worlds,M
Def Jam: Fight for NY,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,83,46,8.9,73,Aki Corp.,M
Def Jam Fight For NY: The Takeover,2006,Action,Electronic Arts,0.08,0,0,0.01,0.09,79,25,8.2,16,Aki Corp.,M
Def Jam Icon,2007,Action,Electronic Arts,0.16,0.19,0,0.08,0.42,68,38,4.4,40,EA Chicago,M
Def Jam Icon,2007,Action,Electronic Arts,0.3,0.01,0,0.03,0.34,69,48,6.3,108,EA Chicago,M
Def Jam Rapstar,2010,Misc,Konami Digital Entertainment,0.25,0.04,0,0.03,0.32,75,25,6.3,4,"Terminal Reality, 4mm Games",T
Def Jam Rapstar,2010,Misc,Konami Digital Entertainment,0.25,0.02,0,0.02,0.29,74,36,5.4,9,"Terminal Reality, 4mm Games",T
Def Jam Vendetta,2003,Fighting,Electronic Arts,0.95,0.74,0,0.25,1.94,80,33,8.9,41,Aki Corp.,T
Def Jam Vendetta,2003,Fighting,Electronic Arts,0.19,0.05,0,0.01,0.25,81,22,8.5,8,Aki Corp.,T
Delta Force: Black Hawk Down,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46,58,25,8.8,51,Rebellion,T
Delta Force: Black Hawk Down,2005,Shooter,NovaLogic,0.25,0.07,0,0.01,0.34,61,37,6.6,19,Climax Group,T
Dementium: The Ward,2007,Shooter,SouthPeak Games,0.15,0.01,0,0.01,0.17,72,48,7.9,37,Renegade Kid,M
Dementium II,2010,Shooter,SouthPeak Games,0.09,0.01,0,0.01,0.11,75,25,8.3,31,Renegade Kid,M
Demigod,2009,Strategy,Atari,0,0.02,0,0,0.02,76,50,7.9,183,Gas Powered Games,T
DemiKids: Light Version,2002,Role-Playing,Atlus,0.02,0.01,0,0,0.02,62,8,8.3,15,Multimedia Intelligence Transfer,E
Demon's Souls,2009,Role-Playing,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82,89,81,8.9,1441,From Software,M
Demon Gaze,2013,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.02,0.17,70,38,7.4,129,Experience Inc.,T
Dengeki Bunko Fighting Climax,2014,Fighting,Sega,0.05,0,0.09,0.01,0.16,66,13,8.2,29,"Sega, French-Bread",T
Dengeki Bunko Fighting Climax,2014,Fighting,Sega,0.04,0,0.08,0.01,0.13,75,7,8.5,28,Sega,T
Deponia,2012,Adventure,Daedalic,0,0.13,0,0.02,0.15,74,33,8.2,307,Daedalic Entertainment,N/A
Destiny,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T
Destiny,2014,Shooter,Activision,2.14,0.92,0,0.31,3.37,75,11,5.5,1735,"Bungie Software, Bungie",T
Destiny: The Taken King,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86,81,6,1079,Bungie,T
Destiny: The Taken King,2015,Shooter,Activision,0.85,0.23,0,0.12,1.19,89,11,5.2,393,"Bungie Software, Bungie",T
Destruction Derby Arenas,2004,Racing,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,57,27,7.8,14,Studio 33,T
Destruction Derby Raw,2000,Racing,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,69,9,7.3,14,Studio 33,E
Deus Ex,2000,Role-Playing,Eidos Interactive,0,0.01,0,0,0.01,90,28,9.3,1069,Ion Storm,M
Deus Ex: Human Revolution,2011,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89,70,8.3,684,Eidos Montreal,M
Deus Ex: Human Revolution,2011,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89,50,8.2,682,Eidos Montreal,M
Deus Ex: Human Revolution,2011,Shooter,Square Enix,0.25,0.25,0,0.08,0.58,90,52,8.5,3069,Nixxes Software,M
Deus Ex: Invisible War,2003,Shooter,Eidos Interactive,0.25,0.07,0,0.01,0.33,84,50,7.6,37,Ion Storm,M
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,0.38,84,59,7.6,511,Eidos Montreal,M
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.09,0.06,0,0.01,0.17,83,18,7.2,175,Eidos Montreal,M
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0,0.03,0,0,0.03,83,55,6.1,684,"Eidos Montreal, Nixxes Software",M
Deus Ex: The Conspiracy,2002,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21,81,25,8.9,49,Ion Storm,M
Devil's Third,2015,Action,Nintendo,0.04,0.02,0,0.01,0.06,43,54,6.5,283,Valhalla Game Studios,M
Devil Kings,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25,64,27,7.4,12,Capcom,T
Devil May Cry,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,94,37,8.5,466,Capcom,M
Devil May Cry 2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97,68,40,6.6,167,Capcom,M
Devil May Cry 3: Dante's Awakening,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84,60,9,212,Capcom,M
Devil May Cry 4,2008,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84,63,8.2,311,Capcom,M
Devil May Cry 4,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84,61,8,248,Capcom,M
Devil May Cry 4,2008,Action,Capcom,0.01,0.02,0,0.01,0.04,78,21,8.5,353,Capcom,M
Devil May Cry HD Collection,2012,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74,27,8.8,158,"Capcom, Pipeworks Software, Inc.",M
Devil May Cry HD Collection,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.43,77,32,8.4,93,"Capcom, Pipeworks Software, Inc.",M
Dewy's Adventure,2007,Platform,Konami Digital Entertainment,0.14,0,0.01,0.01,0.16,67,29,6.3,15,Konami,E
Diablo,1996,Role-Playing,Activision,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Diablo II,2000,Role-Playing,Havas Interactive,0.01,0.1,0,0.02,0.13,88,34,8.8,1056,Blizzard North,M
Diablo II: Lord of Destruction,2001,Role-Playing,Vivendi Games,1.03,0.02,0,0,1.06,87,21,9.1,639,Blizzard North,M
Diablo III,2012,Role-Playing,Activision,2.44,2.16,0,0.54,5.14,88,86,4,9629,Blizzard Entertainment,M
Diablo III,2013,Role-Playing,Activision,0.72,0.75,0.15,0.29,1.91,86,43,6.4,557,Blizzard Entertainment,M
Diablo III,2013,Role-Playing,Activision,0.9,0.39,0,0.12,1.41,87,42,6.6,384,Blizzard Entertainment,M
Diddy Kong Racing DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,63,39,7.5,27,Rare Ltd.,E
Die Hard: Vendetta,2002,Shooter,NDA Productions,0.09,0.02,0,0,0.12,54,23,7,10,Bits Studios,M
Digimon All-Star Rumble,2014,Fighting,Namco Bandai Games,0.06,0.02,0,0.02,0.09,49,12,5.8,32,Prope,E10+
Digimon Digital Card Battle,1999,Strategy,Namco Bandai Games,0.06,0.04,0,0.01,0.11,51,5,9,44,Bandai,T
Digimon Rumble Arena,2001,Fighting,Namco Bandai Games,0.01,0.01,0,0,0.02,64,5,8.8,71,Bandai,E
Digimon Rumble Arena 2,2004,Fighting,Atari,0.05,0.04,0,0.01,0.09,63,9,7.3,23,Black Ship Games,T
Digimon Rumble Arena 2,2004,Fighting,Atari,0.03,0.01,0,0,0.04,71,5,8.1,7,Black Ship Games,T
Digimon Rumble Arena 2,2004,Fighting,Atari,0.01,0,0,0,0.02,65,8,8.8,4,Black Ship Games,T
Digimon Story: Cyber Sleuth,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11,75,45,8.5,289,Media Vision,T
Digimon World: Data Squad,2006,Role-Playing,Namco Bandai Games,0.12,0.09,0,0.03,0.24,43,12,8,20,Bec,E10+
Digimon World 2,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42,5,7.6,47,Bandai,E
Digimon World 4,2005,Role-Playing,Atari,0.08,0.06,0,0.02,0.15,48,7,6.9,37,Bandai,E
Digimon World 4,2005,Role-Playing,Namco Bandai Games,0.07,0.02,0,0,0.09,55,4,8.1,19,Bandai,E
Digimon World 4,2005,Role-Playing,Atari,0.02,0.01,0,0,0.03,54,5,8.8,4,Bandai,E
